Designator,Mid X,Mid Y,Layer,Rotation
C1,180.89,-93.01,B,225.00
C2,173.08,-100.58,B,90.00
C3,169.60,-96.29,B,90.00
C4,169.60,-93.50,B,270.00
C5,166.17,-92.74,B,0.00
D1,183.21,-97.26,B,180.00
Q1,189.44,-94.05,B,180.00
Q2,157.15,-98.99,B,0.00
R1,186.89,-95.96,B,270.00
R2,186.89,-99.97,B,90.00
R3,186.89,-97.94,B,270.00
R4,185.52,-97.21,B,90.00
R5,175.31,-92.58,B,0.00
R6,173.89,-97.84,B,180.00
R7,173.89,-99.01,B,180.00
R8,165.79,-97.43,B,0.00
R9,167.94,-97.43,B,0.00
R10,159.64,-92.96,B,270.00
R11,159.64,-95.00,B,90.00
R12,159.64,-97.03,B,90.00
U1,178.56,-95.38,B,315.00
U3,168.53,-99.75,B,90.00
U4,166.55,-95.17,B,0.00
U5,172.53,-94.54,B,180.00
